年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分,城市
2022,90094,六安,舒城县市场监督管理局,市场监管,本科,不限,6,1,54,69,武汉县
2021,90095,六安,舒城县市场监督管理局,市场监管,本科,法学类、计算机类、管理科学与工程类、汉语言文学专业,7,136,76,69,宇县
2013,90096,六安,舒城县林业局,林业管理,本科,法学类（不含特设专业）,3,62,62,73,瑜市
2015,90097,六安,舒城县医疗保障局,机关文秘,本科,中国语言文学类、新闻传播学类,2,1,63,67,武汉县
2018,90098,六安,舒城万佛湖水源保护和旅游管理委员会,旅游管理,本科,旅游管理类,2,129,65,71,荣县
2022,90099,六安,舒城县供销合作社联合社,机关事务,本科,中国语言文学类、经济学类、经济与贸易类,4,96,75,70,潜江县
2015,90100,六安,中共金寨县委办公室,机关综合,本科,不限,4,1,60,75,俊市
2015,90101,六安,金寨县人大常委会机关　,机关文秘,本科,汉语言文学专业、秘书学专业、法学专业、法律专业,4,109,55,71,斌市
2016,90102,六安,中共金寨县委党史和地方志研究室（县红色文化研究中心、金寨县档案馆）,史志编研,本科,不限,3,1,74,70,荣县
2015,90103,六安,金寨县人民政府办公室,机关文秘,本科,不限,2,63,62,71,俊市
2022,90104,六安,金寨县人力资源和社会保障局,就业创业管理,本科,不限,3,50,58,80,琳市
2017,90105,六安,金寨县卫生健康委员会,信息规划,本科,电子信息工程专业、信息工程专业、电子信息科学与技术专业,1,15,56,72,巢湖市
2013,90106,六安,金寨县市场监督管理局,市场监管,本科,法学类,1,1,68,62,昆明县
2015,90107,六安,金寨县市场监督管理局,市场监管,本科,不限,2,97,71,63,佛山县
2014,90108,六安,金寨县市场监督管理局,市场监管,本科,不限,1,133,51,76,丽市
2019,90109,六安,金寨县市场监督管理局,市场监管,本科,食品科学与工程类,4,1,84,65,宇县
2013,90110,六安,金寨县市场监督管理局,市场监管,本科,药学类,1,60,55,71,香港市
2018,90111,六安,金寨县文化旅游体育局,文旅监管,本科,建筑学专业、历史建筑保护工程专业、城乡规划专业、风景园林专业,1,70,82,77,玲市
2013,90112,六安,金寨县交通运输局,综合管理,本科,不限,1,1,52,77,海口市
2018,90113,六安,金寨县应急管理局,应急处置与执法,本科,不限,1,8,64,67,巢湖市
2013,90114,六安,金寨县司法局,司法行政,本科,法学类,1,97,60,63,娟县
2018,90115,六安,金寨县司法局,司法行政,本科,不限,4,54,78,68,哈尔滨市
2020,90116,六安,金寨县司法局,司法行政,本科,法学类,5,1,62,60,佛山县
2015,90117,六安,金寨县司法局,司法行政,本科,法学类,1,1,75,60,佛山县
2014,90118,六安,金寨县投资创业中心,综合管理,本科,不限,1,201,73,73,斌市
2022,90119,六安,金寨县供销合作社联合社,综合管理,本科,中国语言文学类,1,88,50,68,斌市
2018,90120,六安,中共霍山县纪律检查委员会霍山县监察委员会机关,纪检监察,本科,不限,2,82,53,72,哈尔滨市
2015,90121,六安,中共霍山县纪律检查委员会霍山县监察委员会机关,财务管理,本科,会计学专业、会计专业、财务会计教育专业、审计学专业,3,119,59,71,荣县
2016,90122,六安,中共霍山县纪律检查委员会霍山县监察委员会机关,纪检监察,本科,侦查学专业、经济犯罪侦查专业、公安情报学专业,1,11,47,61,宁德县
2022,90123,六安,中共霍山县纪律检查委员会霍山县监察委员会派驻机构,纪检监察,本科,法学类,4,108,46,72,丽市
2021,90124,六安,霍山县发展和改革委员会,经济管理,本科,经济学门类,1,1,62,79,上海市
2019,90125,六安,霍山县财政局,财政管理,本科,财政学专业、会计学专业、会计专业、审计学专业、财务管理专业,1,70,56,75,郑州县
2015,90126,六安,霍山县人力资源和社会保障局,法律综合,本科,法学专业、法律专业、知识产权专业、信用风险管理与法律防控专业,1,1,59,73,平市
2015,90127,六安,霍山县司法局,司法行政,本科,法学类,1,1,45,71,宁德县
2017,90128,六安,霍山县市场监督管理局,市场监管,专科,不限,1,93,45,71,上海市
2016,90129,六安,霍山县市场监督管理局,市场监管,本科,药学类、生物工程类,4,112,47,64,芳县
2017,90130,六安,霍山县市场监督管理局,市场监管,本科,法学类,7,135,62,69,齐齐哈尔县
2019,90131,六安,霍山县市场监督管理局,市场监管,本科,机械工程专业、机械设计制造及其自动化专业、能源与动力工程专业,1,3,76,68,宁德县
2020,90132,六安,霍山县市场监督管理局,市场监管,本科,食品科学与工程类,1,56,70,67,石家庄县
2016,90133,六安,六安市公安局,人民警察,本科,不限,2,75,59,70,瑜市
2016,90134,六安,六安市公安局,人民警察,本科,法学类,2,1,74,62,福州市
2013,90135,六安,六安市公安局,网络安全管理★,本科,软件工程专业、网络工程专业、网络安全与执法专业、信息安全专业、数据科学与大数据技术专业、计算机科学与技术专业,3,7,61,68,志强县
2016,90136,六安,六安市公安局,刑事技术★,本科,化学类、物理学类、生物科学类,1,40,57,73,志强县
2014,90137,六安,六安市公安局,人民警察,本科,化学类、弹药工程与爆炸技术专业,3,104,55,66,佛山县
2022,90138,六安,六安市公安局,人民警察,本科,汉语言文学专业、汉语言专业、新闻学专业,3,1,69,67,武汉县
2022,90139,六安,金寨县公安局,人民警察,本科,不限,6,1,53,75,斌市
2019,90140,六安,金寨县公安局,人民警察,专科,不限,7,235,45,75,荣县
2019,90141,六安,金寨县公安局,人民警察,专科,研究生：公安学（一级学科）、公安技术（一级学科）；本科：侦查学专业、治安学专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业、警务指挥与战术专业；专科：刑事侦查专业、治安管理专业、交通管理专业、刑事科学技术专业、信息网络安全监察专业、警察指挥与战术专业、特警专业,1,97,72,70,南京市
2022,90142,六安,金寨县公安局,人民警察,本科,不限,1,1,64,65,巢湖市
2014,90143,六安,舒城县公安局,刑事技术★,本科,计算机类、刑事科学技术专业、物理学专业,2,122,72,74,哈尔滨县
2018,90144,六安,舒城县公安局,人民警察,本科,不限,1,13,81,73,佛山县
2016,90145,六安,舒城县公安局,人民警察,专科,不限,7,3,60,71,昆明县
2018,90146,六安,舒城县公安局,人民警察,专科,研究生：公安学（一级学科）、公安技术（一级学科）；本科：侦查学专业、治安学专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业、警务指挥与战术专业；专科：刑事侦查专业、治安管理专业、交通管理专业、刑事科学技术专业、信息网络安全监察专业、警察指挥与战术专业、特警专业,1,5,34,74,杰市
2021,90147,六安,舒城县公安局,人民警察,专科,不限,1,10,56,59,巢湖市
2016,90148,六安,霍山县公安局,法医★,本科,法医学类、临床医学专业,1,59,67,69,玲市
2020,90149,六安,霍山县公安局,信息通信★,本科,计算机类,4,1,77,73,杰市
2019,90150,六安,霍山县公安局,人民警察,本科,会计学专业、会计专业、财务管理专业、审计学专业,3,55,77,70,丹丹市
2015,90151,六安,霍山县公安局,人民警察,本科,汉语言文学专业、汉语言专业、新闻学专业,4,1,52,64,玲市
2020,90152,六安,霍山县公安局,人民警察,本科,不限,1,6,63,63,武汉县
2017,90153,六安,霍邱县公安局,人民警察,本科,法学类,5,121,61,71,玲市
2022,90154,六安,霍邱县公安局,人民警察,本科,法学类,1,59,49,74,上海市
2019,90155,六安,霍邱县公安局,网络安全管理★,本科,计算机类,5,1,73,76,石家庄县
2017,90156,六安,霍邱县公安局,人民警察,本科,新闻传播学类,4,79,42,62,武汉县
2020,90157,六安,霍邱县公安局,人民警察,本科,土木工程专业、建筑学专业、工程管理专业,1,1,71,72,昆明县
2020,90158,六安,霍邱县公安局,人民警察,本科,金融学专业、会计学专业、会计专业、审计学专业,3,32,81,64,荣县
2018,90159,六安,霍邱县公安局,人民警察,专科,不限,4,162,84,71,秀芳县
2016,90160,六安,霍邱县公安局,人民警察,专科,研究生：公安学（一级学科）、公安技术（一级学科）；本科：侦查学专业、治安学专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业、警务指挥与战术专业；专科：刑事侦查专业、治安管理专业、交通管理专业、刑事科学技术专业、信息网络安全监察专业、警察指挥与战术专业、特警专业,1,1,33,70,宁德县
2015,90161,六安,霍邱县公安局,人民警察,专科,不限,4,99,55,79,志强县
2022,90162,六安,六安市中级人民法院,法官助理,本科,法学类,1,74,76,67,宁德县
2021,90163,六安,六安市金安区人民法院,法官助理,本科,法学类,1,1,70,72,南京市
2021,90164,六安,六安市金安区人民法院,法官助理,本科,法学类,1,46,83,68,娟县
2018,90165,六安,六安市裕安区人民法院,法官助理,本科,法学类,1,1,60,76,海燕市
2013,90166,六安,霍邱县人民法院,法官助理,本科,法学类（不含特设专业）,4,25,73,74,昆明县
2021,90167,六安,霍邱县人民法院,综合文字,本科,法学类、政治学类、中国语言文学类、新闻传播学类,1,1,52,72,畅县
2014,90168,六安,霍邱县人民法院,综合文字,本科,不限,1,2,65,75,宇县
2017,90169,六安,霍邱县人民法院,司法警察,专科,不限,4,19,67,74,香港市
2019,90170,六安,金寨县人民法院,司法警察,专科,不限,3,24,87,75,巢湖市
2022,90171,六安,金寨县人民法院,司法警察,专科,不限,1,1,84,69,香港市
2013,90172,六安,金寨县人民法院,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,1,1,60,73,哈尔滨县
2020,90173,六安,金寨县人民法院,法官助理,本科,法学类（不含特设专业）,4,62,63,72,宇县
2021,90174,六安,霍山县人民法院,法官助理,本科,法学类（不含特设专业）,3,75,66,69,西宁市
2015,90175,六安,霍山县人民法院,综合业务,本科,法学类,1,1,56,61,巢湖市
2014,90176,六安,霍山县人民法院,司法警察,专科,不限,1,1,80,61,丽市
2013,90177,六安,舒城县人民法院,法官助理,本科,法学类（不含特设专业）,1,1,82,75,佛山县
2016,90178,六安,舒城县人民法院,综合文字,本科,中国语言文学类、新闻传播学类,4,65,80,81,南京市
2013,90179,六安,舒城县人民法院,综合文字,本科,不限,2,1,51,70,海口市
2018,90180,六安,霍邱县人民检察院,检察官助理,本科,法学类(不含特设专业),1,38,48,71,张家港县
2019,90181,六安,霍邱县人民检察院,检察官助理,本科,法学类(不含特设专业),3,43,83,68,齐齐哈尔市
2020,90182,六安,舒城县人民检察院,检察官助理,本科,法学类(不含特设专业),5,1,83,73,张家港县
2018,90183,六安,舒城县人民检察院,检察官助理,本科,法学类(不含特设专业),2,1,58,65,丽市
2019,90184,六安,舒城县人民检察院,司法行政人员,本科,不限,1,28,83,67,上海市
2022,90185,六安,金寨县人民检察院,检察官助理,本科,法学类(不含特设专业),1,1,71,64,武汉市
2014,90186,六安,金寨县人民检察院,检察官助理,本科,法学类(不含特设专业),2,1,49,66,秀芳县
2014,90187,六安,金寨县人民检察院,检察官助理,本科,法学类(不含特设专业),1,1,83,76,娟县
2018,90188,六安,金寨县人民检察院,司法行政人员,本科,中国语言文学类、新闻传播学类、行政管理专业,1,1,50,77,海口市
2022,90189,六安,金寨县人民检察院,司法行政人员,本科,不限,1,1,50,73,嘉禾市
2020,90190,六安,霍山县人民检察院,检察官助理,本科,法学类(不含特设专业),1,1,64,70,上海县
2014,90191,六安,六安市金安区人民检察院,检察官助理,本科,法学类(不含特设专业),2,57,69,67,巢湖市
2017,90192,六安,六安市金安区人民检察院,司法行政人员,本科,计算机类,1,1,72,75,西宁市
2021,90193,六安,六安市金安区人民检察院,司法行政人员,本科,法学类、秘书学专业,1,70,72,76,丹丹市
2021,90194,六安,六安市裕安区人民检察院,检察官助理,本科,法学类(不含特设专业),1,1,73,68,南京市
2020,90195,六安,六安市裕安区人民检察院,检察官助理,本科,法学类(不含特设专业),1,23,75,76,上海市
2021,90196,六安,六安市叶集区人民检察院,检察官助理,本科,法学类(不含特设专业),5,29,78,76,宁德县
2021,90197,六安,六安市叶集区人民检察院,司法行政人员,本科,会计学专业、会计专业、财务管理专业、审计学专业,1,65,68,64,哈尔滨县
2018,90198,六安,金安区乡镇机关,乡镇管理,专科,不限,6,34,63,77,上海县
2016,90199,六安,金安区乡镇机关,乡镇管理,专科,不限,6,27,83,71,玲市
2016,90200,六安,金安区乡镇机关,乡镇管理,专科,不限,2,248,85,74,丹丹市
2015,90201,六安,金安区乡镇机关,乡镇管理,专科,不限,1,144,68,82,丹丹市
2017,90202,六安,裕安区乡镇机关,乡镇管理,本科,不限,1,1,76,77,宇县
